node,Lake Eleanor,Lake Eleanor,Don Pedro Reservoir,Don Pedro Reservoir,Cherry Lake,Cherry Lake
IFRs,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow
Date,,,,,,
2000-11-09,1404.5,1404.5,231.81386132815462,231.81386132815462,1391.8348435443127,1391.8348435443127
2000-11-10,1404.5,1404.5,231.78100272751624,231.78100272751624,1391.9246876897241,1391.9246876897241
2000-11-11,1404.5,1404.5,231.74251012512502,231.74251012512502,1391.960660438557,1391.960660438557
2000-11-12,1404.5,1404.5,231.70248447668789,231.70248447668789,1391.971142255433,1391.971142255433
2000-11-13,1404.5,1404.5,231.67793047348232,231.67793047348232,1391.9781637871254,1391.9781637871254
2000-11-14,1404.5,1404.5,231.65315434624455,231.65315434624455,1392.017096250246,1392.017096250246
2000-11-15,1404.5,1404.5,231.6175407124003,231.6175407124003,1392.049539969547,1392.049539969547
2000-11-16,1404.5,1404.5,231.57715383043907,231.57715383043907,1392.0572004180954,1392.0572004180954
2000-11-17,1404.5,1404.5,231.53608008285013,231.53608008285013,1392.0671831009415,1392.0671831009415
2000-11-18,1404.5,1404.5,231.4955164559131,231.4955164559131,1392.074170978995,1392.074170978995
2000-11-19,1404.5,1404.5,231.45729469937,231.45729469937,1392.083654527607,1392.083654527607
2000-11-20,1404.5,1404.5,231.4240989179738,231.4240989179738,1392.106614698092,1392.106614698092
2000-11-21,1404.5,1404.5,231.39609094080302,231.39609094080302,1392.1545315757944,1392.1545315757944
2000-11-22,1404.5,1404.5,231.36028485679583,231.36028485679583,1392.1859770266271,1392.1859770266271
2000-11-23,1404.5,1404.5,231.31823155670367,231.31823155670367,1392.1959597094733,1392.1959597094733
2000-11-24,1404.5,1404.5,231.27687589336998,231.27687589336998,1392.2024484532926,1392.2024484532926
2000-11-25,1404.5,1404.5,231.2446826321719,231.2446826321719,1392.2154259409315,1392.2154259409315
2000-11-26,1404.5,1404.5,231.212700029506,231.212700029506,1392.2443757212056,1392.2443757212056
2000-11-27,1404.5,1404.5,231.17987068743986,231.17987068743986,1392.3262337205033,1392.3262337205033
2000-11-28,1404.5,1404.5,231.1532983541348,231.1532983541348,1392.4060951832726,1392.4060951832726
2000-11-29,1404.5,1404.5,231.1296291521794,231.1296291521794,1392.5124107555534,1392.5124107555534
2000-11-30,1404.5,1404.5,231.142363544967,231.142363544967,1392.8578509073227,1392.8578509073227
2000-12-01,1404.5,1404.5,231.12301496707883,231.12301496707883,1393.0180729668914,1393.0180729668914
2000-12-02,1404.5,1404.5,231.08317050275696,231.08317050275696,1393.0490466555568,1393.0490466555568
2000-12-03,1404.5,1404.5,231.03951111882006,231.03951111882006,1393.1008084760786,1393.1008084760786
2000-12-04,1404.5,1404.5,230.99961077840177,230.99961077840177,1393.184846564373,1393.184846564373
2000-12-05,1404.5,1404.5,230.96631716394162,230.96631716394162,1393.2806803195735,1393.2806803195735
2000-12-06,1404.5,1404.5,230.926559064642,230.926559064642,1393.329096331306,1393.3290963313061
2000-12-07,1404.5,1404.5,230.88571804553757,230.88571804553757,1393.3969785744966,1393.3969785744966
2000-12-08,1404.5,1404.5,230.85307187677165,230.85307187677165,1393.4269266230351,1393.4269266230351
2000-12-09,1404.5,1404.5,230.82326975321826,230.82326975321826,1393.5047915490718,1393.5047915490718
2000-12-10,1404.5,1404.5,230.79124168684328,230.79124168684328,1393.5482162194833,1393.5482162194833
2000-12-11,1404.5,1404.5,230.75880124115858,230.75880124115858,1393.5570331825368,1393.5570331825368
2000-12-12,1404.5,1404.5,230.74929489487477,230.74929489487477,1393.691799400858,1393.691799400858
2000-12-13,1404.5,1404.5,230.7191394605962,230.7191394605962,1393.804104582724,1393.804104582724
2000-12-14,1404.5,1404.5,230.6974444219504,230.6974444219504,1393.9603335690317,1393.9603335690317
2000-12-15,1404.5,1404.5,230.68165161231755,230.68165161231755,1394.1053304270383,1394.1053304270383
2000-12-16,1404.5,1404.5,230.65192717246285,230.65192717246285,1394.1787031457843,1394.1787031457843
2000-12-17,1404.5,1404.5,230.61805476916675,230.61805476916675,1394.2216286819614,1394.2216286819614
2000-12-18,1404.5,1404.5,230.58731441270533,230.58731441270533,1394.3379720199648,1394.3379720199648
2000-12-19,1404.5,1404.5,230.56143498708533,230.56143498708533,1394.4228248240552,1394.4228248240552
2000-12-20,1404.5,1404.5,230.53071615118606,230.53071615118606,1394.5665239333796,1394.5665239333796
2000-12-21,1404.5,1404.5,230.50089700370464,230.50089700370464,1394.6972745370017,1394.6972745370017
2000-12-22,1404.5,1404.5,230.47332084182898,230.47332084182898,1394.7995970360216,1394.7995970360216
2000-12-23,1404.5,1404.5,230.4457050416137,230.4457050416137,1394.9069108765668,1394.9069108765668
2000-12-24,1404.5,1404.5,230.41466863754405,230.41466863754405,1394.954328620035,1394.954328620035
2000-12-25,1404.5,1404.5,230.38188277007828,230.38188277007828,1394.9961625016404,1394.9961625016404
2000-12-26,1404.5,1404.5,230.3484982442918,230.3484982442918,1395.0430811108745,1395.0430811108745
2000-12-27,1404.5,1404.5,230.31688728484457,230.31688728484457,1395.1134590248278,1395.1134590248278
2000-12-28,1404.5,1404.5,230.28425179900103,230.28425179900103,1395.1623741707942,1395.1623741707942
2000-12-29,1404.5,1404.5,230.25131030830696,230.25131030830696,1395.2322529507173,1395.2322529507173
2000-12-30,1404.5,1404.5,230.21703311195537,230.21703311195537,1395.3306983046305,1395.3306983046305
2000-12-31,1404.5,1404.5,230.18278219859897,230.18278219859897,1395.4509896328143,1395.4509896328143
2001-01-01,1404.5,1404.5,230.1521365781695,230.1521365781695,1395.518871876005,1395.518871876005
2001-01-02,1404.5,1404.5,230.12190023107692,230.12190023107692,1395.5737766315567,1395.5737766315567
2001-01-03,1404.5,1404.5,230.09585208444577,230.09585208444577,1395.6206952407908,1395.6206952407908
2001-01-04,1404.5,1404.5,230.0666828954237,230.0666828954237,1395.6426571430115,1395.6426571430115
2001-01-05,1404.5,1404.5,230.03874177561755,230.03874177561755,1395.7295064836303,1395.7295064836303
2001-01-06,1404.5,1404.5,230.00959860905198,230.00959860905198,1395.8123627511923,1395.8123627511923
2001-01-07,1404.5,1404.5,229.97821720731343,229.97821720731343,1395.862775299453,1395.862775299453
2001-01-08,1404.5,1404.5,229.95183325856607,229.95183325856607,1395.8877320064664,1395.8877320064664
2001-01-09,1404.5,1404.5,229.94075595211748,229.94075595211748,1395.9910527737509,1395.9910527737509
2001-01-10,1404.5,1404.5,229.9162206273752,229.9162206273752,1396.012281547877,1396.012281547877
2001-01-11,1404.5,1404.5,230.01173872862006,230.01173872862006,1396.1446312163357,1396.1446312163357
2001-01-12,1404.5,1404.5,230.1028160308582,230.1028160308582,1396.2430668410593,1396.2430668410593
2001-01-13,1404.5,1404.5,230.0826510067704,230.0826510067704,1396.248056665348,1396.248056665348
2001-01-14,1404.5,1404.5,230.05280592550983,230.05280592550983,1396.261665276977,1396.261665276977
2001-01-15,1404.5,1404.5,230.02579685109833,230.02579685109833,1396.2688965979953,1396.2688965979953
2001-01-16,1404.5,1404.5,229.99674745298907,229.99674745298907,1396.2814790431503,1396.2814790431503
2001-01-17,1404.5,1404.5,229.9661410789983,229.9661410789983,1396.289190589728,1396.289190589728
2001-01-18,1404.5,1404.5,229.9354297402266,229.9354297402266,1396.3028803476732,1396.3028803476732
2001-01-19,1404.5,1404.5,229.90866187483076,229.90866187483076,1396.3210251633025,1396.3210251633025
2001-01-20,1404.5,1404.5,229.88537431833535,229.88537431833535,1396.3845320180044,1396.3845320180044
2001-01-21,1404.5,1404.5,229.86532327599897,229.86532327599897,1396.4580185212842,1396.4580185212842
2001-01-22,1404.5,1404.5,229.8440409008745,229.8440409008745,1396.5310514040896,1396.5310514040896
2001-01-23,1404.5,1404.5,229.82436730594966,229.82436730594966,1396.6176928985242,1396.6176928985242
