node,Lake Eleanor,Lake Eleanor,Hetch Hetchy Reservoir,Hetch Hetchy Reservoir,Don Pedro Reservoir,Don Pedro Reservoir,Cherry Lake,Cherry Lake
IFRs,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow
Date,,,,,,,,
2005-01-01,0.0,0.0,348.0200206578963,348.0200206578963,1582.7088143764681,1582.7088143764681,92.07073238312175,92.07073238312175
2005-01-02,0.0,0.0,348.12526208619505,348.12526208619505,1585.7880656567502,1585.7880656567502,93.03468314912175,93.03468314912175
2005-01-03,0.0,0.0,348.2666510437276,348.2666510437276,1588.9280251469381,1588.9280251469381,94.01171627812175,94.01171627812175
2005-01-04,0.0,0.0,348.3279307919488,348.3279307919488,1590.9665547574596,1590.9665547574596,94.97566704412175,94.97566704412175
2005-01-05,0.0,0.0,348.3612253426623,348.3612253426623,1592.8858903185228,1592.8858903185228,95.92983150712175,95.92983150712175
2005-01-06,0.0,0.0,348.43228928824857,348.43228928824857,1595.1924038897196,1595.1924038897196,96.86197679012174,96.86197679012174
2005-01-07,0.0,0.0,349.19653543757926,349.19653543757926,1601.9043007690902,1601.9043007690902,97.95673109812175,97.95673109812175
2005-01-08,0.0,0.0,351.178621762449,351.178621762449,1618.5762974880831,1618.5762974880831,99.67869841012175,99.67869841012175
2005-01-09,0.0,0.0,354.78487416987633,354.78487416987633,1638.2315409280775,1638.2315409280775,102.70770243112176,102.70770243112176
2005-01-10,0.0,0.0,356.5513017659315,356.5513017659315,1659.724946742905,1659.724946742905,106.45666260612175,106.45666260612175
2005-01-11,0.0,0.0,357.86724870677637,357.86724870677637,1673.6813947727367,1673.6813947727367,108.09140555412175,108.09140555412175
2005-01-12,0.0,0.0,359.03755881205683,359.03755881205683,1683.0020807557146,1683.0020807557146,109.65628262712175,109.65628262712175
2005-01-13,0.0,0.0,360.19241171629017,360.19241171629017,1691.9808538172008,1691.9808538172008,111.19890519012175,111.19890519012175
2005-01-14,0.0,0.0,361.3203643355974,361.3203643355974,1700.7643700889907,1700.7643700889907,112.69095753812175,112.69095753812175
2005-01-15,0.0,0.0,362.4257026447621,362.4257026447621,1709.2850754445878,1709.2850754445878,114.12689649212174,114.12689649212174
2005-01-16,0.0,0.0,363.483591357676,363.483591357676,1717.7583054863921,1717.7583054863921,115.56303633812175,115.56303633812175
2005-01-17,0.0,0.0,364.7024186416952,364.7024186416952,1725.9058255561113,1725.9058255561113,116.93248583512175,116.93248583512175
2005-01-18,0.0,0.0,365.872923119925,365.872923119925,1733.6716506058476,1733.6716506058476,118.28764331312175,118.28764331312175
2005-01-19,0.0,0.0,367.06009611642673,367.06009611642673,1741.4281568399595,1741.4281568399595,119.81659662112175,119.81659662112175
